0,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9
390,0.065558,0.09002,0.032616,0.032616,0.13992,0.16504,0.14155,0.13601,0.12329,0.10274,0.093281,0.073386,0.090346,0.088715,0.08741,0.087084,0.086106
391,0.066536,0.091324,0.033268,0.033268,0.14155,0.16667,0.14253,0.13601,0.12035,0.09589,0.086432,0.066536,0.07893,0.076973,0.075995,0.075342,0.07469
392,0.067515,0.092629,0.033594,0.033594,0.14318,0.1683,0.14384,0.13633,0.1184,0.090346,0.080887,0.060992,0.070124,0.068167,0.066862,0.06621,0.065558
393,0.068493,0.093933,0.034247,0.034247,0.14481,0.16993,0.14481,0.13633,0.11676,0.086106,0.076647,0.056751,0.062948,0.060992,0.059361,0.059035,0.058056
394,0.069472,0.094912,0.034899,0.034899,0.14644,0.17156,0.14612,0.13699,0.11546,0.082844,0.073386,0.05349,0.057404,0.055121,0.05349,0.053164,0.052511
395,0.070124,0.096217,0.035225,0.035225,0.14775,0.17286,0.1471,0.13764,0.11481,0.080235,0.070776,0.050881,0.052838,0.050881,0.04925,0.048598,0.048271
396,0.071429,0.097195,0.035877,0.035877,0.14905,0.17417,0.14808,0.13796,0.11448,0.078278,0.068819,0.048924,0.049576,0.047619,0.045988,0.045336,0.044684
397,0.072407,0.0985,0.03653,0.03653,0.15068,0.1758,0.14938,0.13894,0.11416,0.076973,0.067515,0.047619,0.046967,0.04501,0.043379,0.042727,0.042074
398,0.073386,0.099804,0.036856,0.036856,0.15199,0.1771,0.15036,0.1396,0.11416,0.075995,0.066536,0.046641,0.04501,0.043053,0.041096,0.04077,0.040117
399,0.07469,0.10078,0.037508,0.037508,0.15329,0.17841,0.15134,0.14057,0.11448,0.075342,0.065884,0.045988,0.043705,0.041422,0.039791,0.039465,0.038813
400,0.075669,0.10209,0.03816,0.03816,0.1546,0.17971,0.15264,0.14123,0.11481,0.07469,0.065232,0.045336,0.042727,0.040444,0.038813,0.038487,0.037834
401,0.076973,0.10339,0.038487,0.038487,0.15558,0.18069,0.15362,0.1422,0.11513,0.07469,0.065232,0.045336,0.041748,0.039791,0.03816,0.037834,0.037182
402,0.078278,0.1047,0.039139,0.039139,0.15688,0.182,0.15427,0.14286,0.11579,0.07469,0.064905,0.04501,0.041422,0.039465,0.037834,0.037182,0.03653
403,0.079256,0.106,0.039791,0.039791,0.15786,0.1833,0.15525,0.14384,0.11611,0.07469,0.064905,0.044684,0.041096,0.039139,0.037508,0.036856,0.03653
